시설년도,위치코드,시설구분1,쉼터명칭,도로명주소,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2025,1120053500,공공시설,청계도서관,서울특별시 성동구 마장로 141,127.0255475,37.5678769,202257.0026,552037.9297
2025,1120053500,특정계층이용시설,왕십리도선동노인복지관,서울특별시 성동구 마장로 141,127.0254342,37.567814,202246.9949,552030.9458
2025,1120053500,공공시설,왕십리도선동주민센터,서울특별시 성동구 마장로 141,127.025458,37.5678526,202249.0964,552035.2305
2025,1126059000,특정계층이용시설,봉황경로당,서울특별시 중랑구 봉우재로33길 55-10,127.0882556,37.5952586,207794.1167,555080.3409
2025,1126060000,특정계층이용시설,중화극동APT경로당,서울특별시 중랑구 봉화산로27길 32 (극동아파트 종합상가),127.083841,37.603599,207403.4236,556005.6759
2025,1126060000,특정계층이용시설,중화한신APT경로당,서울특별시 중랑구 동일로 752 (중화한신아파트),127.081309,37.597164,207180.4585,555291.2653
2025,1126060000,생활밀착민간시설,중랑우리새마을금고본점,서울특별시 중랑구 동일로130길 9 (중화동),127.0806261,37.5997869,207119.9011,555582.3262
2025,1126060000,특정계층이용시설,구립중화경로복지관,서울특별시 중랑구 동일로138길 28 (중화동),127.08114,37.6033076,207164.9447,555973.1241
2025,1126060000,공공시설,중화1동주민센터,서울특별시 중랑구 동일로134길 17,127.080715,37.6011345,207127.6231,555731.9016
2025,1126060000,특정계층이용시설,중화1동통합경로당,서울특별시 중랑구 동일로138길 28,127.0812117,37.6033033,207171.2765,555972.6524
2025,1126061000,특정계층이용시설,동양엔파트2차경로당,서울특별시 중랑구 중랑천로14길 34 (중화동 동양엔파트 2차 관리동),127.074646,37.594274,206592.2988,554970.0189
2025,1126061000,공공시설,중화문학도서관,서울특별시 중랑구 봉화산로 27 (중화2동복합청사),127.077465,37.602074,206840.5423,555835.934
2025,1126061000,생활밀착민간시설,중랑으뜸새마을금고본점,서울특별시 중랑구 중랑천로 117 (중화동),127.0719417,37.5956995,206353.3496,555128.0471
2025,1126061000,야외시설,중랑천변(구립세화어린이집맞은편),서울특별시 중랑구 중랑천로 197 (중화동),127.0731576,37.6004684,206460.3164,555657.4251
